time,silent,transient,persistent,self-evoked,asynchronous
0,0,0,0,0,0
0.01,1.125,1.125,1.125,1.25,1.5
0.02,0.125,0.375,0.625,0.375,1
0.03,0.125,0.5,1.125,0.875,1
0.04,0,0.25,0.625,0.75,1
0.05,0.5,0.625,0.375,0.25,0.75
0.06,0,0.125,0.75,0.5,0.75
0.07,0.125,0.625,1.125,0.5,0.75
0.08,0.25,0.25,0.625,0.375,1.25
0.09,0.125,0.625,0.5,0.25,1.625
0.1,0.625,0.25,0.875,0.875,1.5
0.11,0.25,0.375,0.625,0.5,1
0.12,0.125,0.75,0.75,1.25,1.75
0.13,0.25,0.25,0.5,0.625,1.375
0.14,0.375,0.25,1,1.25,1.25
0.15,0,0.5,0.375,1.125,1
0.16,0.375,0.125,0.125,0.875,1.25
0.17,0.25,0.125,0.25,0.125,0.5
0.18,0.125,0.375,0.375,0.375,1.375
0.19,0.375,0.375,0.375,1,0.375
0.2,0.125,0.5,0.375,0.625,0.375
0.21,0.375,0.5,0.375,0.5,1.75
0.22,0.375,0.75,0.375,1.125,1.375
0.23,0.5,0.5,0.625,0.875,1.625
0.24,0.5,0.25,0.75,0.375,1.75
0.25,0.125,0.25,0.75,0.375,0.625
0.26,0.25,0.375,0.375,0.625,1
0.27,0.375,0.125,1.125,0.75,2.125
0.28,0.125,0.25,0.625,0.5,1
0.29,0,0.375,0.25,0.75,1
0.3,0.375,0.375,0.5,1.125,1.625
0.31,0.25,0.875,0.375,1.75,1.375
0.32,0.625,0.75,1,1.5,1.75
0.33,0.375,0.5,0.75,1,2.25
0.34,0.25,0.375,0,0.875,0.5
0.35,0.25,0.25,0.75,0.5,1.25
0.36,0.25,0.5,0.5,1,1.25
0.37,0.5,0.125,0.75,0.25,1.625
0.38,0.125,0.375,0.5,1,1.625
0.39,0.5,0.125,0.875,0.875,0.75
0.4,0.375,0.5,0.875,0.625,1.25
0.41,0.25,0.125,0.125,0.75,0.75
0.42,0.375,0.75,0.625,1,1
0.43,0.5,0.25,0.375,0.125,0.875
0.44,0.25,0.375,0.375,0.875,0.75
0.45,0.25,0.375,0.75,0.875,3.375
0.46,0.125,0.5,0.875,0.625,2.5
0.47,0.5,0.625,0.75,1.75,2
0.48,0.5,0.625,0.75,1.125,2
0.49,0.125,0.125,0.25,1,2.375
0.5,0.375,0.75,0.75,1.125,2.125
0.51,0.5,0.625,0.875,1.25,1.5
0.52,0.125,1.125,0.5,1,2.25
0.53,0.375,0.375,0.75,0.875,2.25
0.54,0,0.25,0.25,0.625,2.375
0.55,0.25,0.625,0.5,1.125,3.625
0.56,0.125,0.5,0.5,1,2.125
0.57,0.125,0.125,0.5,0.75,2.25
0.58,0.125,0.25,0.5,1.5,2.25
0.59,0.25,0.625,0.5,1.25,2
0.6,0.25,0.75,0.125,1,2.375
0.61,0.25,0.625,0.5,1,2
0.62,0.25,0.25,0.25,1.125,1.375
0.63,0.5,0.625,0.625,1.25,2.5
0.64,0.25,0.5,0.875,1.875,2.375
0.65,0.125,0.625,0.75,1,3.375
0.66,0.5,0.25,0.625,2,3.375
0.67,0.125,0.25,0.875,0.75,3.875
0.68,0.125,0.125,0.625,1.875,3.75
0.69,0.375,0.25,0.625,1.625,4.25
0.7,0.25,0.375,0.875,1.5,3.875
0.71,0.5,0.125,0.375,0.625,3.875
0.72,0.375,0.875,0.75,0.5,2.5
0.73,0.375,0.25,0.375,1,2.375
0.74,0.375,0.25,1.125,0.875,3.5
0.75,0,0.25,0.25,1.875,3.125
0.76,0.5,0.375,1.125,1.75,4.125
0.77,0.375,0.25,0.125,0,4
0.78,0.5,0.25,0.375,0.375,3.375
0.79,0,0.25,0.75,0.625,8.375
0.8,0.375,0.625,1.5,1,6.875
0.81,0.25,0.5,0.75,1,7.375
0.82,0.25,0.25,0.75,0.75,9.875
0.83,0.375,0.5,0.125,1.5,5
0.84,0.25,0.625,0.5,1.125,10
0.85,0.625,0.25,0.625,0.75,8.875
0.86,0.5,0.875,0.875,1.25,8.625
0.87,0,0.5,0.375,1.625,8.875
0.88,0.5,0.5,0.375,1.625,7.625
0.89,0,0,0.5,0.75,8.125
0.9,0.25,0.25,0.125,0.625,8.875
0.91,0.125,0.25,0.5,1.625,8
0.92,0.25,0.75,0.375,0.75,6
0.93,0.25,0.625,0.625,1.375,7.125
0.94,0.375,0.625,0.75,1.375,4.875
0.95,0.25,0.375,0.875,1.5,5.125
0.96,0,0.5,0.5,2,6.75
0.97,0.25,0.875,0.5,1.75,6.625
0.98,0.625,0.5,0.625,1.25,6.125
0.99,0,0.5,0.5,0.5,5
1,0,0.125,0.25,0.875,4
1.01,0.375,0,0.875,1,6
1.02,0.125,0.5,0.25,0.75,5.375
1.03,0.375,0.375,1.125,1.375,6.25
1.04,0.375,0.5,0.25,1.75,6.125
1.05,0.375,0.125,0.125,1.75,8.25
1.06,0.375,0.375,0.5,1.5,6.5
1.07,0.625,0.25,0.625,1.5,7.375
1.08,0.25,0.75,0.5,1.375,5.375
1.09,0.25,1.875,0.75,1,7.5
1.1,0.125,0.375,0.5,1.125,6.375
1.11,0.25,0.875,0.375,1.25,4.625
1.12,0.25,0.75,0.875,1.5,7.375
1.13,0.25,0.25,0.125,0.75,5.25
1.14,0.375,0.75,0.125,1,7.375
1.15,0.375,0.5,0.5,1.375,7.5
1.16,0.125,0.625,0.875,2.125,14.375
1.17,0,0.375,0.875,0.875,8.125
1.18,0.625,0.875,0.5,1.25,9.25
1.19,1,0.25,0.625,1.75,8
1.2,0.375,0.125,0.5,1.5,10.25
1.21,0.625,0.75,0.625,0.875,8.125
1.22,0.375,0.375,0.75,2,9.625
1.23,0.375,0.125,0.25,0.625,6.875
1.24,0.25,0.375,0.375,0.875,8.5
1.25,0.25,0.25,0.75,1.25,9.125
1.26,0.25,0.5,0.375,1.75,4.625
1.27,0.125,0.625,0.75,1.125,8.25
1.28,0.5,0.5,0.75,0.375,7.625
1.29,0.375,0.125,0.125,1.5,7.125
1.3,0.25,0.375,0.375,1.375,8.375
1.31,0.375,0.5,0.375,1.25,3.875
1.32,0.625,0.5,0.625,1.375,4.375
1.33,0.5,0.5,0.375,1.5,5.875
1.34,0.375,0.5,0.625,1.625,2.625
1.35,0.25,0.25,0.75,1,4.25
1.36,0.25,0.25,0.5,1.375,5.25
1.37,0.375,1.25,0.375,0.75,4.625
1.38,0.125,0,0.25,1.25,6
1.39,0.25,0.625,0.75,0.375,7.875
1.4,0.125,0.5,0.125,1.5,8.375
1.41,0.125,0.25,0.375,0.375,8.375
1.42,0.125,0.25,0.625,0.875,13.875
1.43,0,0.125,0.25,1.25,10.75
1.44,0.625,0.375,0.5,0.5,12.875
1.45,0.5,0.5,0.5,1.5,9.5
1.46,0.375,0.625,0.375,0.875,8
1.47,0.25,0.375,0.125,1.125,8.625
1.48,0.25,0.625,0.5,1.125,7.375
1.49,0.375,0.25,0.375,1.5,9.75
1.5,0.25,0.375,1.125,2.125,6.375
1.51,0.375,0.625,0.625,1.125,5.875
1.52,0.375,0.625,0.375,1,9.25
1.53,0.375,0.625,0.5,1.375,6
1.54,0.125,0.75,0.75,1.125,10.125
1.55,0.5,0.875,0.75,1,7.625
1.56,0.25,0.375,0.625,1.5,9
1.57,0.5,0.25,0.75,1,11.625
