time,V0,V1,V2,r0,r1,r2,mu_Ext_0,mu_Ext_1,mu_Ext_2,#11,#12,#13,#14,#15,#16,#17,#18,#19,#20,#21,#22,#23,#24,#25,#26,#27,#28,
0.0000,0.180,0.180,0.165,0.000,0.000,0.000,15.636,15.818,20.918,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,15.636,15.818,20.918,8.287,8.226,10.070,1.761,1.774,2.310,
0.0100,15.127,15.067,16.533,1.125,2.111,9.250,1588.160,1586.892,2100.323,23.448,127.342,-932.156,5.332,126.623,-926.094,24.266,411.473,-741.380,806.049,792.098,1792.253,146.575,157.999,152.984,21.793,21.925,18.459,
0.0200,16.418,16.299,17.395,0.250,0.306,4.500,1589.721,1585.556,2101.381,5.748,19.269,-447.594,1.250,18.736,-450.215,5.143,58.772,-360.480,1164.809,1153.505,1800.213,124.671,124.207,128.323,13.444,13.457,13.402,
0.0300,16.626,16.504,17.526,0.875,0.458,5.450,1588.328,1586.598,2102.672,19.689,27.934,-546.531,4.350,27.723,-546.115,18.556,89.876,-436.510,1088.685,1073.853,1776.545,132.044,132.606,133.479,14.554,14.471,14.286,
0.0400,16.720,16.610,17.595,0.500,0.472,4.800,1582.138,1587.867,2098.900,12.290,28.474,-483.188,2.863,28.722,-480.792,10.442,91.010,-379.710,1136.525,1135.326,1811.827,124.610,126.381,125.827,13.670,13.572,13.553,
0.0500,16.644,16.551,17.536,0.500,0.361,5.200,1584.191,1586.037,2098.869,13.125,22.920,-522.594,2.866,22.008,-517.767,10.813,69.977,-414.870,1100.742,1096.569,1774.820,130.403,129.696,129.476,14.238,14.170,13.998,
0.0600,16.659,16.522,17.525,0.500,0.486,5.400,1589.517,1585.653,2099.557,10.538,29.937,-534.875,2.436,30.514,-539.830,11.266,95.674,-433.380,1096.994,1078.038,1772.078,130.335,131.954,133.947,14.228,14.182,14.078,
0.0700,16.667,16.552,17.574,0.250,0.542,5.250,1584.160,1587.179,2099.164,6.082,32.063,-530.406,1.415,32.714,-525.087,5.339,105.503,-420.730,1092.327,1096.477,1789.579,130.655,130.647,132.164,14.297,14.283,14.128,
0.0800,16.647,16.558,17.566,0.625,0.417,4.850,1584.545,1585.444,2103.784,12.848,25.934,-479.844,2.750,25.664,-484.556,13.210,82.067,-387.070,1142.165,1128.206,1809.102,126.477,128.101,127.928,14.234,14.183,13.960,
0.0900,16.641,16.527,17.534,0.625,0.375,5.100,1586.728,1587.234,2100.746,13.174,22.592,-514.438,3.036,22.854,-510.073,13.608,72.333,-409.190,1108.979,1103.728,1778.097,129.861,130.152,131.642,13.971,13.885,13.804,
0.1000,16.659,16.577,17.508,0.250,0.444,5.250,1584.371,1586.884,2100.701,4.529,28.567,-523.875,1.018,27.325,-523.899,5.218,88.101,-423.000,1095.588,1093.313,1777.911,130.554,127.916,128.541,14.276,14.255,14.074,
0.1100,16.637,16.556,17.520,0.500,0.458,5.400,1585.425,1586.172,2100.552,11.760,28.103,-538.250,2.588,28.419,-539.042,10.894,88.466,-425.580,1086.492,1077.625,1772.975,128.127,128.456,132.411,14.994,14.988,14.498,
0.1200,16.709,16.590,17.523,0.750,0.417,4.900,1591.150,1586.061,2101.061,17.615,24.090,-491.000,3.967,23.770,-489.049,16.072,80.258,-390.040,1142.010,1124.876,1807.451,126.303,127.620,128.472,13.764,13.645,13.664,
0.1300,16.647,16.532,17.502,0.500,0.403,5.100,1582.572,1588.448,2102.038,10.907,23.471,-509.562,2.305,23.608,-511.538,10.935,78.185,-408.170,1107.084,1102.676,1782.246,129.731,129.167,129.692,13.923,13.893,13.789,
0.1400,16.709,16.471,17.531,1.625,0.292,5.050,1594.116,1588.137,2100.789,34.431,18.116,-499.750,7.783,18.269,-504.670,35.869,57.254,-400.330,1146.450,1109.592,1793.697,133.525,127.916,131.411,14.023,13.906,13.786,
0.1500,16.852,16.565,17.561,1.375,0.361,5.300,1586.960,1587.512,2101.117,34.482,20.570,-531.656,7.501,20.784,-530.365,28.930,70.187,-424.170,1108.259,1083.911,1770.306,132.987,131.336,131.123,14.315,14.153,13.978,
0.1600,16.851,16.597,17.546,1.125,0.403,5.050,1585.349,1587.846,2096.948,24.507,24.590,-506.500,5.328,24.917,-505.361,24.664,79.353,-405.690,1127.916,1113.252,1797.631,134.471,128.784,133.051,14.032,13.917,13.907,
0.1700,16.801,16.513,17.543,1.000,0.375,5.150,1585.907,1586.336,2105.952,21.457,21.501,-513.781,4.832,21.398,-516.042,22.086,72.880,-410.620,1116.392,1096.374,1790.015,128.064,127.513,133.050,14.160,14.029,13.878,
0.1800,16.769,16.570,17.530,0.500,0.389,5.150,1582.202,1585.156,2096.988,11.313,24.686,-509.906,2.461,24.075,-515.580,11.110,75.985,-411.510,1105.748,1095.121,1769.603,132.553,127.308,134.221,14.018,14.093,13.887,
0.1900,16.786,16.497,17.524,1.875,0.389,5.250,1585.213,1588.522,2097.557,45.056,23.687,-519.250,10.219,24.003,-524.715,41.101,75.553,-419.530,1137.318,1099.825,1800.006,129.416,130.103,133.246,14.224,13.998,14.038,
0.2000,16.903,16.612,17.570,1.000,0.431,4.900,1582.454,1587.909,2099.313,21.247,27.886,-485.250,4.879,28.081,-490.865,21.776,83.477,-394.500,1139.345,1124.822,1795.148,132.221,126.845,129.928,13.782,13.743,13.697,
0.2100,16.734,16.461,17.483,1.250,0.333,5.400,1590.042,1587.747,2100.873,30.215,20.778,-541.531,6.589,20.884,-541.094,27.034,65.178,-431.180,1101.348,1075.681,1765.779,136.274,129.388,133.481,14.524,14.340,14.083,
0.2200,16.855,16.561,17.549,0.875,0.389,4.950,1584.377,1585.732,2101.036,19.922,22.963,-495.812,4.356,22.868,-494.108,18.610,75.647,-396.030,1135.719,1120.927,1805.540,128.305,126.982,132.613,14.079,13.971,13.888,
0.2300,16.760,16.544,17.530,0.875,0.375,5.300,1589.525,1585.301,2100.390,19.350,22.632,-528.844,4.298,22.998,-528.597,18.860,74.176,-423.070,1101.554,1083.539,1769.984,131.731,128.340,129.979,14.555,14.477,14.201,
0.2400,16.779,16.539,17.546,0.875,0.389,5.050,1588.511,1585.632,2100.052,20.109,22.875,-506.656,4.617,23.262,-505.882,18.603,76.228,-402.540,1126.539,1109.244,1796.467,127.560,128.120,134.967,14.010,13.873,13.833,
0.2500,16.735,16.553,17.518,0.500,0.431,5.150,1583.512,1586.727,2099.790,11.265,26.250,-516.344,2.419,25.558,-514.431,10.759,83.815,-412.690,1103.819,1099.903,1779.548,122.986,127.030,131.856,14.095,13.987,13.916,
0.2600,16.797,16.612,17.559,1.000,0.431,5.100,1587.834,1587.251,2094.887,22.716,26.012,-504.719,5.029,25.386,-510.444,21.809,84.375,-408.720,1132.964,1107.057,1793.884,128.444,129.364,129.298,13.900,13.801,13.850,
0.2700,16.800,16.536,17.516,1.375,0.347,5.100,1586.243,1586.835,2099.525,29.840,21.024,-508.719,6.734,21.340,-510.302,30.004,65.745,-409.850,1125.078,1103.496,1780.199,125.991,128.446,132.265,14.288,14.158,13.989,
0.2800,16.837,16.615,17.547,0.500,0.444,5.250,1584.636,1585.976,2099.549,11.595,26.633,-528.031,2.588,27.522,-524.396,10.476,85.550,-416.900,1099.580,1093.929,1786.532,133.625,130.141,133.318,14.065,14.073,13.969,
0.2900,16.712,16.555,17.544,0.500,0.528,5.200,1586.179,1587.648,2094.273,12.315,33.037,-515.469,2.635,32.522,-518.142,10.874,103.781,-414.690,1114.050,1103.519,1790.978,135.017,130.919,128.037,14.189,14.146,14.051,
0.3000,16.829,16.672,17.626,0.875,0.347,4.900,1582.452,1584.663,2100.899,18.993,21.363,-493.469,4.367,21.496,-490.226,19.190,66.764,-392.740,1130.331,1120.621,1794.924,124.001,126.959,128.912,14.045,13.896,13.835,
0.3100,16.682,16.578,17.543,0.500,0.486,5.250,1585.690,1588.954,2098.350,10.428,29.282,-526.188,2.310,28.728,-523.347,11.185,93.508,-422.090,1098.167,1095.386,1776.896,127.170,130.620,131.402,14.213,14.094,14.000,
0.3200,16.672,16.597,17.580,0.250,0.500,5.100,1586.848,1585.242,2099.056,5.193,29.070,-513.750,1.190,30.013,-511.236,5.319,96.822,-406.110,1108.312,1106.230,1798.199,127.770,128.059,130.215,14.468,14.497,14.164,
0.3300,16.742,16.643,17.586,0.875,0.472,5.050,1588.841,1587.930,2099.328,20.164,27.327,-502.969,4.441,27.712,-503.003,18.238,92.219,-405.300,1130.191,1114.385,1796.034,136.150,128.613,127.746,14.048,13.882,13.882,
0.3400,16.658,16.509,17.531,0.625,0.403,5.450,1581.498,1587.083,2100.245,15.063,24.327,-545.125,3.434,24.433,-545.215,13.054,79.434,-436.540,1080.339,1073.884,1769.498,135.766,130.329,133.581,14.477,14.472,14.236,
0.3500,16.643,16.506,17.564,0.875,0.542,5.250,1585.947,1586.810,2101.337,19.477,32.963,-525.781,4.318,32.403,-526.726,18.535,106.488,-419.380,1111.921,1096.050,1804.267,127.847,128.839,134.088,14.461,14.347,14.213,
0.3600,16.669,16.529,17.549,0.375,0.347,5.050,1583.381,1587.737,2101.294,8.102,20.302,-500.219,1.782,20.699,-504.444,8.498,67.392,-403.460,1110.946,1105.177,1772.455,130.656,127.186,128.955,14.154,14.157,13.907,
